Customer_ID,Signup_Date,Signup_Month,Region,Plan,Acquisition_Channel,Monthly_Fee,Tenure_Months,Support_Tickets,Usage_Score,Payment_Issues,Discount_Used,Churned,Churn_Date,Churn_Reason,Customer_Lifetime_Value
CUST-0059,2025-09-13,2025-09,Middle East,Pro,Organic Search,49,4,0,55,No,No,No,,,196
CUST-0060,2025-03-23,2025-03,North America,Basic,Paid Ads,19,10,2,89,Yes,No,No,,,190
CUST-0061,2025-04-08,2025-04,Europe,Enterprise,Social Media,149,9,1,65,No,No,No,,,1341
CUST-0062,2025-10-03,2025-10,North America,Basic,Social Media,19,3,0,84,No,No,No,,,57
CUST-0063,2025-07-30,2025-07,Middle East,Basic,Referral,19,4,2,38,No,No,Yes,2025-10-31,Switched competitor,76
CUST-0064,2025-06-19,2025-06,Asia-Pacific,Enterprise,Paid Ads,149,7,0,72,No,No,No,,,1043
CUST-0065,2025-06-18,2025-06,Asia-Pacific,Pro,Paid Ads,49,2,0,94,No,No,Yes,2025-07-14,Price too high,98
CUST-0066,2025-12-17,2025-12,Asia-Pacific,Enterprise,Social Media,149,1,0,79,No,No,No,,,149
CUST-0067,2025-12-22,2025-12,North America,Basic,Paid Ads,19,1,3,60,No,Yes,No,,,19
CUST-0068,2025-12-16,2025-12,North America,Pro,Organic Search,49,1,3,49,No,No,No,,,49
CUST-0069,2025-08-25,2025-08,Europe,Pro,Referral,49,2,2,56,No,No,Yes,2025-09-24,Switched competitor,98
CUST-0070,2025-06-03,2025-06,Europe,Pro,Organic Search,49,7,2,58,No,No,No,,,343
CUST-0071,2025-05-21,2025-05,Asia-Pacific,Basic,Social Media,19,8,5,48,No,No,No,,,152
CUST-0072,2025-12-04,2025-12,North America,Pro,Organic Search,49,1,1,64,No,Yes,No,,,49
CUST-0073,2025-03-09,2025-03,North America,Basic,Social Media,19,10,2,63,No,No,No,,,190
CUST-0074,2025-02-08,2025-02,Asia-Pacific,Basic,Social Media,19,4,1,5,No,No,Yes,2025-05-12,Price too high,76
CUST-0075,2025-07-08,2025-07,Middle East,Pro,Referral,49,2,3,29,No,No,Yes,2025-08-10,Low product usage,98
CUST-0076,2025-11-09,2025-11,North America,Basic,Social Media,19,2,3,46,No,Yes,No,,,38
CUST-0077,2025-09-10,2025-09,North America,Basic,Paid Ads,19,4,1,66,No,No,No,,,76
CUST-0078,2025-12-02,2025-12,Europe,Basic,Paid Ads,19,1,2,53,No,No,No,,,19
CUST-0079,2025-07-05,2025-07,Middle East,Basic,Paid Ads,19,2,3,52,No,Yes,Yes,2025-08-06,Price too high,38
CUST-0080,2025-04-19,2025-04,Europe,Pro,Organic Search,49,2,2,54,No,No,Yes,2025-05-22,Price too high,98
CUST-0081,2025-04-21,2025-04,North America,Pro,Social Media,49,9,2,44,No,No,No,,,441
CUST-0082,2025-01-09,2025-01,North America,Basic,Social Media,19,6,0,50,No,No,Yes,2025-06-13,Missing features,114
CUST-0083,2025-08-23,2025-08,North America,Pro,Partner,49,5,2,52,No,No,No,,,245
CUST-0084,2025-11-16,2025-11,Europe,Pro,Paid Ads,49,2,3,67,No,No,Yes,2025-12-12,Switched competitor,98
CUST-0085,2025-11-30,2025-11,Europe,Enterprise,Social Media,149,2,0,92,No,No,No,,,298
CUST-0086,2025-06-10,2025-06,Middle East,Basic,Paid Ads,19,2,3,88,Yes,No,Yes,2025-07-06,Payment issue,38
CUST-0087,2025-07-10,2025-07,Europe,Pro,Referral,49,6,0,61,No,No,No,,,294
CUST-0088,2025-06-30,2025-06,Europe,Basic,Organic Search,19,7,0,58,No,No,No,,,133
CUST-0089,2025-12-12,2025-12,North America,Pro,Partner,49,1,2,55,No,No,No,,,49
CUST-0090,2025-06-23,2025-06,North America,Basic,Organic Search,19,2,1,49,No,No,Yes,2025-07-26,Price too high,38
CUST-0091,2025-08-03,2025-08,North America,Basic,Organic Search,19,3,0,93,No,No,Yes,2025-10-28,Price too high,57
CUST-0092,2025-12-05,2025-12,Middle East,Basic,Paid Ads,19,1,2,76,No,Yes,No,,,19
CUST-0093,2025-10-31,2025-10,Middle East,Basic,Organic Search,19,3,0,69,Yes,No,No,,,57
CUST-0094,2025-06-17,2025-06,Europe,Basic,Paid Ads,19,7,3,71,No,No,Yes,2025-12-31,Missing features,133
CUST-0095,2025-10-21,2025-10,Middle East,Basic,Organic Search,19,3,0,81,Yes,No,No,,,57
CUST-0096,2025-08-12,2025-08,North America,Pro,Referral,49,5,0,65,No,No,No,,,245
CUST-0097,2025-06-28,2025-06,Asia-Pacific,Basic,Referral,19,5,2,61,No,Yes,Yes,2025-10-01,Missing features,95
CUST-0098,2025-10-16,2025-10,Europe,Pro,Partner,49,3,0,57,No,No,Yes,2025-12-31,Missing features,147
CUST-0099,2025-05-21,2025-05,Europe,Pro,Organic Search,49,8,1,69,No,No,No,,,392
CUST-0100,2025-01-22,2025-01,Asia-Pacific,Basic,Referral,19,2,1,73,Yes,Yes,Yes,2025-02-21,Switched competitor,38
CUST-0101,2025-02-13,2025-02,North America,Basic,Organic Search,19,11,0,62,No,Yes,No,,,209
CUST-0102,2025-12-03,2025-12,Middle East,Enterprise,Organic Search,149,1,2,89,No,No,No,,,149
CUST-0103,2025-12-06,2025-12,Europe,Basic,Partner,19,1,1,71,No,No,No,,,19
CUST-0104,2025-12-17,2025-12,North America,Enterprise,Referral,149,1,0,75,No,No,No,,,149
CUST-0105,2025-09-06,2025-09,Asia-Pacific,Basic,Organic Search,19,4,1,85,No,No,No,,,76
CUST-0106,2025-11-13,2025-11,Europe,Basic,Organic Search,19,2,3,28,No,Yes,No,,,38
CUST-0107,2025-12-13,2025-12,Asia-Pacific,Pro,Referral,49,1,1,36,No,No,No,,,49
CUST-0108,2025-08-29,2025-08,North America,Enterprise,Referral,149,5,0,67,No,No,No,,,745
CUST-0109,2025-05-09,2025-05,Europe,Basic,Paid Ads,19,2,4,43,No,Yes,Yes,2025-06-05,Low product usage,38
CUST-0110,2025-09-20,2025-09,Europe,Basic,Partner,19,2,2,74,No,Yes,Yes,2025-10-23,Low product usage,38
CUST-0111,2025-07-17,2025-07,Europe,Enterprise,Organic Search,149,6,3,61,No,No,No,,,894
CUST-0112,2025-08-18,2025-08,Asia-Pacific,Pro,Organic Search,49,5,1,78,No,No,No,,,245
CUST-0113,2025-11-24,2025-11,Europe,Pro,Organic Search,49,2,3,54,Yes,No,Yes,2025-12-31,Price too high,98
CUST-0114,2025-06-30,2025-06,Europe,Basic,Referral,19,7,5,80,Yes,No,No,,,133
CUST-0115,2025-05-10,2025-05,Europe,Pro,Organic Search,49,8,1,94,No,No,No,,,392
CUST-0116,2025-09-03,2025-09,Asia-Pacific,Pro,Organic Search,49,3,2,48,No,Yes,Yes,2025-11-01,Missing features,147
CUST-0117,2025-10-06,2025-10,North America,Basic,Referral,19,3,1,89,Yes,No,No,,,57
CUST-0118,2025-07-24,2025-07,Asia-Pacific,Pro,Paid Ads,49,5,3,64,No,No,Yes,2025-11-25,Switched competitor,245
CUST-0119,2025-04-03,2025-04,North America,Pro,Organic Search,49,4,1,54,No,No,Yes,2025-07-02,Missing features,196
CUST-0120,2025-08-11,2025-08,Asia-Pacific,Basic,Partner,19,5,3,66,No,No,No,,,95
CUST-0121,2025-01-18,2025-01,North America,Basic,Referral,19,5,0,88,Yes,Yes,Yes,2025-05-15,Payment issue,95
CUST-0122,2025-07-23,2025-07,North America,Basic,Partner,19,2,3,56,No,No,Yes,2025-08-21,Poor support experience,38
CUST-0123,2025-04-20,2025-04,North America,Enterprise,Partner,149,9,0,76,No,No,No,,,1341
CUST-0124,2025-06-03,2025-06,Middle East,Pro,Partner,49,5,0,43,No,Yes,Yes,2025-10-04,Low product usage,245
CUST-0125,2025-08-28,2025-08,Europe,Pro,Referral,49,5,2,75,No,No,No,,,245
CUST-0126,2025-11-25,2025-11,Europe,Basic,Paid Ads,19,2,3,79,No,No,No,,,38
CUST-0127,2025-09-15,2025-09,North America,Enterprise,Organic Search,149,4,1,84,No,No,No,,,596
CUST-0128,2025-05-09,2025-05,Asia-Pacific,Basic,Organic Search,19,8,0,37,Yes,No,Yes,2025-12-30,Price too high,152
CUST-0129,2025-11-25,2025-11,North America,Pro,Organic Search,49,2,0,57,Yes,No,No,,,98
CUST-0130,2025-06-04,2025-06,Asia-Pacific,Basic,Referral,19,7,2,61,Yes,No,No,,,133
CUST-0131,2025-07-24,2025-07,Europe,Basic,Referral,19,6,1,73,No,Yes,No,,,114
CUST-0132,2025-03-23,2025-03,Asia-Pacific,Pro,Referral,49,9,2,77,No,No,Yes,2025-11-17,Missing features,441
CUST-0133,2025-12-01,2025-12,North America,Pro,Organic Search,49,1,2,74,No,No,No,,,49
CUST-0134,2025-01-24,2025-01,Europe,Basic,Organic Search,19,12,1,52,No,No,No,,,228
CUST-0135,2025-09-14,2025-09,North America,Basic,Referral,19,2,2,34,Yes,No,Yes,2025-10-18,Low product usage,38
CUST-0136,2025-07-21,2025-07,Middle East,Enterprise,Organic Search,149,6,0,100,No,No,No,,,894
CUST-0137,2025-12-19,2025-12,Europe,Pro,Organic Search,49,1,0,28,No,No,Yes,2025-12-31,Low product usage,49
CUST-0138,2025-11-19,2025-11,Middle East,Pro,Paid Ads,49,2,2,55,No,No,No,,,98
CUST-0139,2025-08-03,2025-08,Middle East,Basic,Paid Ads,19,1,2,14,No,No,Yes,2025-08-30,Low product usage,19
CUST-0140,2025-10-15,2025-10,Middle East,Basic,Paid Ads,19,3,1,65,No,No,No,,,57
CUST-0141,2025-11-26,2025-11,North America,Pro,Paid Ads,49,2,2,64,No,No,No,,,98
CUST-0142,2025-12-27,2025-12,Middle East,Basic,Organic Search,19,1,0,89,No,No,No,,,19
CUST-0143,2025-12-13,2025-12,Asia-Pacific,Pro,Paid Ads,49,1,0,93,No,Yes,No,,,49
CUST-0144,2025-02-10,2025-02,Europe,Basic,Organic Search,19,10,1,56,No,No,Yes,2025-11-08,Low product usage,190
CUST-0145,2025-08-30,2025-08,Middle East,Basic,Organic Search,19,5,0,42,No,No,No,,,95
CUST-0146,2025-11-27,2025-11,Middle East,Basic,Referral,19,2,2,84,No,Yes,No,,,38
CUST-0147,2025-04-01,2025-04,North America,Enterprise,Social Media,149,2,1,64,No,No,Yes,2025-05-30,Missing features,298
CUST-0148,2025-02-24,2025-02,North America,Enterprise,Paid Ads,149,9,0,58,No,No,Yes,2025-10-22,Payment issue,1341
CUST-0149,2025-10-18,2025-10,North America,Pro,Referral,49,3,0,53,No,No,No,,,147
CUST-0150,2025-09-02,2025-09,North America,Basic,Organic Search,19,3,2,85,No,No,Yes,2025-11-06,Low product usage,57
CUST-0151,2025-05-01,2025-05,North America,Basic,Organic Search,19,8,0,66,No,No,No,,,152
CUST-0152,2025-11-07,2025-11,Middle East,Basic,Partner,19,2,2,22,No,No,No,,,38
CUST-0153,2025-02-11,2025-02,Europe,Pro,Paid Ads,49,11,2,63,No,No,Yes,2025-12-31,Missing features,539
CUST-0154,2025-08-22,2025-08,Europe,Pro,Referral,49,3,1,71,No,Yes,Yes,2025-10-22,Low product usage,147
CUST-0155,2025-02-02,2025-02,North America,Pro,Social Media,49,11,3,66,No,Yes,Yes,2025-12-04,Switched competitor,539
CUST-0156,2025-03-10,2025-03,North America,Pro,Organic Search,49,2,0,62,No,No,Yes,2025-04-04,Switched competitor,98
CUST-0157,2025-08-26,2025-08,Europe,Pro,Paid Ads,49,4,2,55,No,No,Yes,2025-11-29,Low product usage,196
CUST-0158,2025-01-09,2025-01,North America,Basic,Referral,19,2,0,63,No,Yes,Yes,2025-02-10,Price too high,38
CUST-0159,2025-04-22,2025-04,Middle East,Pro,Organic Search,49,9,2,67,No,No,No,,,441
CUST-0160,2025-10-13,2025-10,Asia-Pacific,Enterprise,Partner,149,3,0,62,No,No,No,,,447
CUST-0161,2025-06-13,2025-06,Europe,Pro,Organic Search,49,5,2,88,No,No,Yes,2025-10-12,Switched competitor,245
CUST-0162,2025-10-13,2025-10,Europe,Pro,Organic Search,49,3,1,74,No,No,Yes,2025-12-31,Poor support experience,147
CUST-0163,2025-11-05,2025-11,North America,Basic,Social Media,19,2,0,40,No,Yes,No,,,38
CUST-0164,2025-01-08,2025-01,North America,Basic,Social Media,19,12,2,24,No,No,No,,,228
CUST-0165,2025-08-29,2025-08,North America,Pro,Organic Search,49,3,1,73,No,No,Yes,2025-10-01,Switched competitor,147
CUST-0166,2025-10-24,2025-10,North America,Pro,Organic Search,49,3,2,91,No,No,No,,,147
CUST-0167,2025-09-08,2025-09,Middle East,Enterprise,Paid Ads,149,4,2,100,No,No,No,,,596
CUST-0168,2025-01-31,2025-01,Asia-Pacific,Pro,Organic Search,49,3,1,62,Yes,Yes,Yes,2025-03-29,Price too high,147
CUST-0169,2025-09-16,2025-09,North America,Basic,Referral,19,4,4,38,No,Yes,Yes,2025-12-14,Low product usage,76
CUST-0170,2025-05-27,2025-05,Asia-Pacific,Basic,Referral,19,2,3,17,Yes,Yes,Yes,2025-06-24,Missing features,38
CUST-0171,2025-05-10,2025-05,North America,Pro,Paid Ads,49,8,0,81,No,No,No,,,392
CUST-0172,2025-10-10,2025-10,Middle East,Basic,Referral,19,3,4,72,No,No,No,,,57
CUST-0173,2025-01-22,2025-01,Asia-Pacific,Basic,Referral,19,7,1,49,No,No,Yes,2025-07-19,Missing features,133
CUST-0174,2025-12-31,2025-12,Asia-Pacific,Pro,Organic Search,49,1,0,58,No,No,No,,,49
CUST-0175,2025-07-16,2025-07,North America,Pro,Partner,49,6,1,47,No,Yes,No,,,294
CUST-0176,2025-06-17,2025-06,North America,Basic,Partner,19,4,0,55,No,No,Yes,2025-09-19,Low product usage,76
CUST-0177,2025-05-07,2025-05,North America,Pro,Organic Search,49,2,1,43,No,No,Yes,2025-06-01,Payment issue,98
CUST-0178,2025-08-16,2025-08,North America,Basic,Organic Search,19,2,2,73,No,No,Yes,2025-09-15,Missing features,38
CUST-0179,2025-11-02,2025-11,North America,Pro,Paid Ads,49,2,1,85,Yes,No,No,,,98
CUST-0180,2025-10-20,2025-10,Middle East,Pro,Organic Search,49,3,1,82,No,Yes,No,,,147
CUST-0181,2025-07-04,2025-07,North America,Basic,Referral,19,6,1,48,Yes,No,No,,,114
CUST-0182,2025-11-30,2025-11,North America,Enterprise,Paid Ads,149,2,2,72,No,No,No,,,298
CUST-0183,2025-12-22,2025-12,Asia-Pacific,Pro,Social Media,49,1,1,80,No,No,No,,,49
CUST-0184,2025-04-13,2025-04,Europe,Pro,Referral,49,9,0,54,No,No,No,,,441
CUST-0185,2025-12-04,2025-12,Europe,Basic,Paid Ads,19,1,0,62,No,No,No,,,19
CUST-0186,2025-12-21,2025-12,North America,Basic,Partner,19,1,1,23,No,No,Yes,2025-12-31,Missing features,19
CUST-0187,2025-07-01,2025-07,Middle East,Basic,Referral,19,2,1,34,No,No,Yes,2025-08-26,Low product usage,38
CUST-0188,2025-09-19,2025-09,Europe,Pro,Referral,49,4,2,85,No,No,No,,,196
CUST-0189,2025-06-01,2025-06,Asia-Pacific,Basic,Organic Search,19,7,2,51,No,No,No,,,133
CUST-0190,2025-12-30,2025-12,Asia-Pacific,Basic,Referral,19,1,1,45,No,Yes,No,,,19
CUST-0191,2025-03-23,2025-03,Europe,Basic,Paid Ads,19,7,2,30,No,No,Yes,2025-09-17,Low product usage,133
CUST-0192,2025-12-27,2025-12,North America,Pro,Organic Search,49,1,2,59,No,No,No,,,49
CUST-0193,2025-09-08,2025-09,Middle East,Pro,Referral,49,4,0,52,No,No,No,,,196
CUST-0194,2025-11-11,2025-11,Middle East,Pro,Organic Search,49,2,1,76,No,Yes,No,,,98
CUST-0195,2025-10-22,2025-10,North America,Basic,Referral,19,3,1,30,No,No,No,,,57
CUST-0196,2025-08-19,2025-08,Asia-Pacific,Pro,Partner,49,5,0,69,No,No,No,,,245
CUST-0197,2025-03-27,2025-03,North America,Basic,Social Media,19,10,1,68,No,Yes,No,,,190
CUST-0198,2025-01-22,2025-01,Europe,Pro,Organic Search,49,3,0,81,No,No,Yes,2025-03-22,Low product usage,147
CUST-0199,2025-02-14,2025-02,Asia-Pacific,Basic,Social Media,19,8,2,87,No,No,Yes,2025-09-12,Missing features,152
CUST-0200,2025-11-02,2025-11,North America,Pro,Referral,49,2,1,81,No,No,No,,,98
CUST-0201,2025-07-30,2025-07,Asia-Pacific,Enterprise,Social Media,149,6,3,100,No,No,No,,,894
CUST-0202,2025-08-01,2025-08,North America,Basic,Social Media,19,5,2,36,No,No,No,,,95
CUST-0203,2025-02-17,2025-02,Europe,Pro,Referral,49,11,1,73,No,No,Yes,2025-12-31,Missing features,539
CUST-0204,2025-08-24,2025-08,Asia-Pacific,Basic,Organic Search,19,5,0,70,No,No,No,,,95
CUST-0205,2025-02-17,2025-02,North America,Pro,Paid Ads,49,6,2,61,No,No,Yes,2025-07-19,Price too high,294
CUST-0206,2025-10-31,2025-10,Middle East,Basic,Organic Search,19,2,1,23,No,No,Yes,2025-11-26,Low product usage,38
CUST-0207,2025-02-15,2025-02,North America,Pro,Organic Search,49,6,2,61,No,No,Yes,2025-07-20,Price too high,294
CUST-0208,2025-06-29,2025-06,Middle East,Pro,Organic Search,49,7,0,82,No,Yes,No,,,343
CUST-0209,2025-05-22,2025-05,North America,Pro,Referral,49,8,1,53,No,Yes,No,,,392
CUST-0210,2025-05-03,2025-05,North America,Basic,Paid Ads,19,8,0,42,No,No,No,,,152
CUST-0211,2025-02-07,2025-02,North America,Basic,Organic Search,19,6,2,56,No,No,Yes,2025-07-10,Missing features,114
CUST-0212,2025-03-20,2025-03,North America,Basic,Paid Ads,19,5,2,86,No,No,Yes,2025-07-19,Poor support experience,95
CUST-0213,2025-05-03,2025-05,North America,Basic,Paid Ads,19,8,0,62,No,No,No,,,152
CUST-0214,2025-05-13,2025-05,North America,Basic,Social Media,19,4,1,92,No,Yes,Yes,2025-08-15,Missing features,76
CUST-0215,2025-09-12,2025-09,Europe,Basic,Paid Ads,19,4,1,47,No,Yes,No,,,76
CUST-0216,2025-01-23,2025-01,North America,Pro,Organic Search,49,2,0,98,No,No,Yes,2025-02-27,Low product usage,98
CUST-0217,2025-06-14,2025-06,Asia-Pacific,Basic,Organic Search,19,2,2,34,Yes,No,Yes,2025-07-12,Poor support experience,38
CUST-0218,2025-01-24,2025-01,North America,Enterprise,Paid Ads,149,2,0,100,No,No,Yes,2025-02-21,Low product usage,298
CUST-0219,2025-06-05,2025-06,North America,Pro,Paid Ads,49,4,6,56,No,No,Yes,2025-09-04,Price too high,196
CUST-0220,2025-10-05,2025-10,Asia-Pacific,Basic,Social Media,19,3,2,54,No,No,Yes,2025-12-07,Switched competitor,57
CUST-0221,2025-08-03,2025-08,North America,Basic,Partner,19,5,2,47,No,No,Yes,2025-12-27,Missing features,95
CUST-0222,2025-11-23,2025-11,North America,Pro,Referral,49,2,0,86,No,No,No,,,98
CUST-0223,2025-12-25,2025-12,North America,Pro,Paid Ads,49,1,2,100,No,No,No,,,49
CUST-0224,2025-02-24,2025-02,Europe,Basic,Paid Ads,19,8,0,44,No,No,Yes,2025-09-22,Price too high,152
CUST-0225,2025-12-31,2025-12,Europe,Basic,Paid Ads,19,1,1,42,No,Yes,No,,,19
CUST-0226,2025-08-20,2025-08,Europe,Pro,Organic Search,49,5,3,87,No,Yes,No,,,245
CUST-0227,2025-11-27,2025-11,Europe,Basic,Partner,19,2,6,82,No,No,Yes,2025-12-31,Price too high,38
CUST-0228,2025-08-25,2025-08,Asia-Pacific,Basic,Paid Ads,19,5,1,34,No,No,No,,,95
CUST-0229,2025-11-11,2025-11,North America,Pro,Organic Search,49,2,0,79,Yes,No,No,,,98
CUST-0230,2025-09-27,2025-09,Asia-Pacific,Basic,Paid Ads,19,4,3,57,No,No,No,,,76
CUST-0231,2025-05-19,2025-05,North America,Basic,Organic Search,19,6,3,35,Yes,No,Yes,2025-10-21,Low product usage,114
CUST-0232,2025-10-01,2025-10,Asia-Pacific,Pro,Organic Search,49,3,2,67,No,No,No,,,147
CUST-0233,2025-04-01,2025-04,North America,Basic,Referral,19,9,1,73,No,No,Yes,2025-12-22,Price too high,171
CUST-0234,2025-04-23,2025-04,Europe,Basic,Paid Ads,19,4,0,33,No,Yes,Yes,2025-07-19,Low product usage,76
CUST-0235,2025-03-14,2025-03,Asia-Pacific,Pro,Social Media,49,2,3,63,No,No,Yes,2025-04-12,Low product usage,98
CUST-0236,2025-03-22,2025-03,Europe,Pro,Referral,49,10,0,69,No,No,Yes,2025-12-31,Low product usage,490
CUST-0237,2025-10-18,2025-10,Middle East,Basic,Partner,19,2,3,52,No,No,Yes,2025-11-13,Price too high,38
CUST-0238,2025-06-13,2025-06,Asia-Pacific,Basic,Organic Search,19,4,1,30,No,No,Yes,2025-09-10,Poor support experience,76
